Formula,Dosef,Hform,Natoms,Mass,Energy,Smax,Fmax,Volume,Gap_wo_soc,Bandgap
Al2MgSe4,0,-0.962,7,394.152,-29.756,0,0.009,524.61,1.203,1.064
Ca2Sn4F12,0,-2.948,18,782.977,-92.356,0.002,0.009,1184.906,3.958,3.924
Hf2Br2N2,0,-1.688,6,544.802,-45.014,0,0.004,418.174,2.015,1.955
In2MnSe4,1.25,-0.442,7,600.458,-32.268,0,0.003,591.768,0,0
MnF12Sb2,0,-2.456,15,526.439,-74.403,0.003,0.007,915.667,1.743,1.742
Na4As4O8,0,-1.535,16,519.637,-89.439,0,0.007,1198.45,4.342,4.333
Ta3I7Se,0,-0.524,11,1510.146,-49.041,0,0.01,1705.656,0.7,0.665
W2O12Sb4,0,-1.722,18,1046.708,-133.084,0,0.009,1086.107,1.85,1.745
Zr2PTe2,1.948,-1.141,5,468.622,-32.284,0,0.009,466.411,0,0
Mn2Cl2S4Sb2,0,-0.496,10,552.536,-53.088,0,0.002,1457.041,0.364,0.355
MgNa2H4O8S2,0,-1.541,17,266.429,-92.874,0,0.008,1061.06,4.454,4.454
Cr2Br4,0,-0.691,6,423.608,-29.3,0,0.009,483.666,0.495,0.495
Cr2Br2Cl2,0,-0.833,6,334.7,-30.555,0,0.008,508.05,0.647,0.645
Tl2I2,0,-0.601,4,662.569,-10.358,0,0,586.487,3.298,2.399
In2S2,0,-0.556,4,293.756,-15.905,0,0,267.727,1.678,1.675
CoO2,1.89,-0.913,3,90.931,-21.217,0,0,116.296,0,0
CrSe2,0,-0.486,3,209.938,-17.832,0,0,161.958,0.741,0.685
Ir4Te8,0,-0.268,12,1789.668,-65.956,0,0,957.158,0.607,0.551
Mo2Te4,1.257,-0.286,6,702.3,-36.937,0,0,411.678,0,0
Pd2S4,0,-0.294,6,341.08,-25.717,0,0,500.068,1.145,1.12
PtS2,0,-0.394,3,259.204,-15.694,0,0,193.15,1.737,1.688
Re4O8,0,-1.434,12,872.82,-104.835,0,0,519.526,1.522,1.304
Re4Te8,0,-0.092,12,1765.628,-73.375,0,0,822.145,0.912,0.817
SnS2,0,-0.319,3,182.83,-13.17,0,0,263.849,1.438,1.438
V2CS2,1.538,-0.739,5,178.014,-38.12,0,0,158.152,0,0
Ta2NSe2,1.694,-0.9,5,533.845,-39.452,0,0,193.568,0,0
Ag2ReBr6,0,-0.335,9,881.367,-29.858,0,0,771.398,0.638,0.562
Al2Br6,0,-1.119,8,533.387,-25.935,0,0,646.705,4.04,3.897
Cu2Br6,0.861,-0.152,8,606.516,-18.075,0,0,653.885,0.238,0.107
Mn2Cl6,0,-0.833,8,322.576,-36.808,0,0,530.415,0.038,0.039
Cr3WS8,0,-0.714,12,596.308,-80.905,0,0,595.697,0.929,0.863
BiIS,0,-0.412,3,367.945,-11.467,0,0,296.905,1.923,0.777
TiBrCl,0,-1.326,3,163.221,-14.038,0,0,180.329,0.86,0.83
